product_id,product_title,rating,summary,review
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Terrific purchase,1-more flexible2-bass is very high3-sound clarity is good 4-battery back up to 6 to 8 hour's 5-main thing is fastest charging system is available in that. Only 20 min charge and get long up to 4 hours back up 6-killing look awesome 7-for gaming that product does not support 100% if you want for gaming then I'll recommend you please don't buy but you want for only music then this product is very well for you.. 8-no more wireless headphones are comparing with that headphones at this pric...
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Terrific purchase,Super sound and good looking I like that prize
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Super!,"Very much satisfied with the device at this price point being from an awesome brand. Design wise , I liked it more than rockerz 255 model.Bought the model blindly on its very first day with zero reviews and it was a wonderful choice I must say.Bluetooth 5.0 enables us to connect devices simultaneously. And vibration motor for calls , its too good."
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Super!,"Nice headphone, bass was very good and sound is clear. I am purchase for calling purpose and best choice even riding on bike wear in one ear and opposite end voice was clear and no complaint for calling.. Battery backup 1 full day"
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Terrific purchase,Sound quality super battery backup super quality super this price range super and this value for money
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Wonderful,"Wowwww it's amezing bluetooth nice look, nice price, nice battery back up, I love always flipkart product's and Flipkart replacement and refund policy, you can return or refund after received a demegzed product"
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Pretty good,Awesome colour! Amazing experience .. but only the charging data cable is not of good quality and adjustable clip is not so tight.
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Terrific purchase,"For the first time, I am posting a review, just because the product compelled me to do so. Icouldn't find a single aspect missed or mis-handled by Boat. Well this is called, quality engineering. Well, some people say Boat enhances bass and thus compensates with clarity, but I would give my neutral and true feedbackBass : 10/10Clarity : 9/10Comfort ease n looks : 15/10Features :10/10The best buy from flipkart yet.."
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Delightful,First of all the Delivery boy is a good guy. Nice receive and responce. Product is super. Packing also good.  I fell Red color is not sufficient for me. Otherwise totally awesome product. Delivery is too long. Iam taking one week after booking. Thankyou flipcart and boat 235v2 also.
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,1,Worthless,This headphone is good but not that much as i expected*Pros- 1Good battery backup             2Good sound quality*Cons-1 There's a voice gap between video activity and voice. Voice comes after video activity not both comes together. It is ok when you watch movies and music but if you play pubg with it you will clearly feel the big gap it matters a lot for me. It is not working after 4 month very much disappointedOverall not goodDon't buy please
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Simply awesome,It's a very good product ... I'm so happy with this BCz its bass quality & sounds is too good & batry back up Also super
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Good choice,Nice build quality.. bass is best it self.. vibrate at call is nice. .. nice support from flipkart and delivery partner
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,1,Terrible product,"After using for about 8 days, right side of the earphone is not working properly and the volume on right side is  very low. I didn't expect this."
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,1,Useless product,Mic is not proper recipient persons can't hear proper sound ( every time for call I heard from front I can't hear you so I have to again talk to through Mobile phone no Option useless of wirless meaning)  and sound quality is so loud. Like local headphones. not comfortable to wear for more than1 hrs of uses.tere is no meanings to get replaced again you get same product therefore this is wast of money.
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Wonderful,"Wow flip cart super fast service like  express speed delivery I order 11 am delivery At 5pm I am very happy,  boAt Bluetooth headset is very very excellent product fast charging super totally user friendly go for it"
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Fabulous!,Very great product at this price I will assure that this is a value for money product and the bass and sound quality was awesome the build quality was great 👌 and this product has a mat finish which gives a class and flagship look this is the best and the fast charging technology was working very well and the ear are fixing suitable in our ear the music quality was great
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Very Good,It's very good and its bass is very high This bluetooth is very good best value or money but battery is too tiny.....Battery backup is not long time but it's realy fast charging support so little battery is comfortable with fast charging
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Excellent,"Good product. Never used bluetooth headset before. Now I am happy to see ease in my work. As I noticed boat marketing their products aggressively in market in recent days. About product it's like awesome having better build quality, bass is good, battery backup is fine and vibration though it vibrates my neck when ever I gets call but still feature is must needed when u are driving. Wanted to give 5star but there is a sentence that "" Nothing is perfect in this imperfect world"" 😄😄😉"
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Awesome,"This review is after 1 month of use .Pro:- 1.Battery backup is genuinely too good, runs almost 1.5 -2 days on a single charge.. and 8hrs on continuous playback.2. Charge very fast,,, 40% just in 15-20 minutes3. Sound is crisp,clear and decent, not too loud.  4. Build quality is awsome nd stylish as well.5.connectivity is super fast nd good with phones.6. Last but not the least,,, its really comfort able nd i didn't feel any discomfort or pain even after continous use of 5 hrs which i ..."
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Excellent,I like It Boat HP Sound Quality is bestm best And Bass Quality is to good And New V2 product is to good & Fast charging is besttt to save charging  timeing....
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,3,Does the job,"Hi Seekers, I am writing this review after 2 weeks of daily use, lets start with pros and cons Pros-✓Sounds Quality is good✓ Bass is good enough✓ Look is okay as per this price range ✓ All essential controls are provided✓ Backup is decentConsxx Bluetooth range is too short (even if you are walking by holding phone in your hand you will feel connection disturbances at all times)xx In case of battery get low it continuously gives you a voice signals in every 2 seconds I found its ver..."
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Nice product,Great product.. I loved it.. As I was using level U.. This product is much more better than that.. Though battery life is just like 8hrs and bass like goosebumps... But when increased bass earplugs starts raddling.. Vibrate feature is awesome..
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Nice product,"Awesome product happy to have one.Good sound quality in medium volume, with equalizer app could complete the high bass sound. Battery last long 20 min of charge to enjoy whole day.Very light weight, Easy to carry,"
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Good quality product,It's a very good product... I'm so happy with this Bcz it's bass quality & sounds is too good & battery backup also superb
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Terrific,"Amazing product   Sound quality was awesome, it has deep bass which I really wanted, I am really satisfied and battery backup was also nice and it also had fast charging facilities"
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Really Nice,I think it is the best product in this price segment I buy this product after seeing it's sell figure and my decision got right u must buy this product I love it's sound quality but the build quality must be improved and they must give charging adaptor out of the box
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Must buy!,Best product at this price loved it. Thank you flipkart for safe delivery 💯😃
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Really Nice,Excellent voice clarity superb bass for music lovers. Overall a very good product.
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Mind-blowing purchase,"This earphone is just awsome yaar , everything is just so perfect yaar just go for it blindly ,i tell you u cant find a best product at this price its awsome👌👌👌👌"
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Best in the market!,It is an amazing product.. For this price... Less weight.. Flexible.. Super sound... Extra feature is call vibration.. Nice one.. Try it..
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Excellent,The product was good enough.. Stylish blur color with well designed earphones.. Coming to the specifications sound and bass was superb... Value for money... Batery backup is also good around 6 hours life.... No lag in PUBG... Highly satisfied but have to wait and see how long it works like this
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Worth every penny,Boat headset is very clear voice and bass is v good and plus point is fast charging 20 mint to 4 hrs batery backup... One of the best bluetooth headset....osmmm products
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,3,Nice,"A fine product i would say , well crafted design and good build quality ..  good fit and comfortable to wear ... enough bass to provide u good sound experience .. although not the most premium quality but still considering the price it's well ahead of it .. manages lows and highs well, sound mixing and good listening experience when it comes to music video and others ..the only CON i noticed was the microphone .. i think this device is not built for calling ... sometimes the voice is not eve..."
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Wonderful,Good product very fast delivery (with in 36 hours only) superb color love it
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Nice product,Boat rockerz 235 v2 is the budget blutooth hearphone. All are very good performance only sound quality is slightly poor.. vibration and battery backup is the best part in this product. Bass also very great .. just lysric clearing not proper
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Best in the market!,If you are a bass lover then blindly go for it . And I think 8 hours of backup is enough and 4 hours charge in 20 mins .what else we want . Superb
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Nice product,"Review after about 2months of usage.Before starting let me be clear, THIS DEVICE IS NOT FOR SERIOUS MUSIC LOVERS/AUDIOPHILES.I'm not gonna repeat the same technical aspects of it, you already know what's inside it. So...Coming to the sound, if you just love some BASS and heavy sounds this earphone will become your best buddy in no time. The volume on this is insane. I only use it at 20-30% max. It's very loud. So no complaints there.If you've used some premium earphone from brands lik..."
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Wonderful,Im a jbl user ..boat 235v2 battery is too good to stay 2 days..fast charging..bass is 5 of 5 but sound of vocal is 4 of 5.. mic is good ..although i bought this in 1299 ..in this range its good
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Awesome,The boat 235v2 is really good it's sounds very clear and also good bass. If you think buy a Bluetooth headset go for It. Just sounds and battery backup is awesome.
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Pretty good,"Above from my expectation, after reading the review i opted for not to purchase this product but guys you won't believe it really work, too good sound quality, superb bass overall it is lovelly one....will make ur day sweet.......bass lover will loved it.This boat 235v2 is better than boult pro bass product coz i ordered both the earphone jst as to compare the quality and boat rockerz is jst uncomaprable...perfect tune...superb acaustic....voice calling is far better that boult earphone........"
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Wonderful,I brought this product as I was looking for a sweat proof headset for my workouts. I got it for 899 and I have to say that am pretty satisfied with the features and the quality that the headset has to deliver. I would definitely recommend this product to my family and friends. Just go for it !!!
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Just wow!,Ti's is my first Bluetooth headset it is wonderful and color is more attractive and the sound quality is good and it is good product and value of money is 5star and battery is good
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4,Very Good,Very decent look product. Give superb bass. Mic quality is okok. Design and build is superb. In this price range it worth it.
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Awesome,Good quality and good product you have to take you will enjoy 👍😍 I just love it 🔥🔥🔥💞
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Highly recommended,Awsome Sound Quality 5 * !!Bass Is Awsome 5* !!Degin is Good 3* !!Battery backup much Good 4* !!
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Fabulous!,It so nice but nickband so tall but otherwise is best headphone call vibraion and fast charging nice product.....
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Excellent,It's a Awesome purchase. Value for money. I can't expect that type of sound and connectivity will get in this price range. Last time I bought Boult ear buds and refunded due to charging issue and connectivity issue.  That sound was not as powerful as this Boat headphone provides. Really happy to advise all of you if are searching for Bluetooth headphones please go for it. You will get everything you are searching for.  Thanks Flipcart. And request all of you please go for only Indian Products.
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Awesome,Very nice very satisfied and sound quality very good bass is excellent overall worth it
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Terrific purchase,First of all it looks very perfect and is non fragile and awesome experience using this.....just fast delivery and well packed ....just perfect qs a product can be...and the best part is its mindblowing sound quality thunping my ears.....
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5,Best in the market!,"I think for this price range, it's one of the best available in market. sound quality is good and loudness is nothing short of excellence. Bluetooth connectivity is too good. Satisfactory with looks and build quality, could have been better."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Fabulous!,I will tell you some hidden features that you might have not heard and will summarize my review as follows first:👉Sound quality is 4/5👉Build and quality 5/5👉Features 5/5👉Looks 5/5👉 Battery 6/5 yes its 6/5👌👉Overall price to product 5/5👈👌If your Budget allows you can buy them they are really greatNOW SOME HIDDEN Features not actually hidden but yah that many you have not heardRead the full para for correct infoThe major con you hear is that it doesn't have ⚡off button ⚡But...
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,4,Good quality product,"PROS: best in budget, with a good bass most loved thing is 🔋 backup. 1hour charge gives minimum 10 ✌️🎧 enjoymentMagnetic attaching helps more to improve battery life more😍CONS:  (1)sec ..delay in sounds in pubg😑 the only disappointment in these, I bought this for pubg streaming but they bit late in sounds  I don't recommend these for pubg player and for gaming it's not worth  writing this after 1week  hope u find these a useful review 😘"
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Terrific purchase,nice very beautiful Realme buds Very good soundbass quality very nice battery backup good
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Simply awesome,"in love with thisthe auto turn off when magnet sticks is very handy and saves batteryaudio quality good...balances between the highs and the lows good mids alsoi have used skullcandy inkd as well as boat rockerz 225as a comparison, skullcandy handles every frequencies without any distortion, gives a great quality and feel to the audioboat adds bass to the normal audio which makes it distorted at large volumes and long usage timescoming to realme, it is far beyond boat in terms of audio..."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,4,Good quality product,"Everything is Good Only Bass is Little bit Less as compare to Boat Rockerz 255But Except Bass Overall Is Awesome And the most amazing Function is Auto connect, when separate ear buds from each other it's connect automatically with previousaly connected device within 2-3 secon. Battery backup is also good as They commit. 10-12 Hr And. fast Charging. The  most Attractive Design which looks Too good with premium Material and Comfortable Ear Buds. Go for it."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Excellent,I am writing this review after using this product for 3 weeks and I am very happy with this product I am giving it five star ???? ? ? I must say it is a very nice product and you can buy this product blindfold it is a very great battery backup and the song quality is very very nice and it is light and easy to use
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Super!,"These earbuds are the best you could buy. good build quality, excellent sound and bass. Mic works excellent even while riding a bike. Audio is clear and the battery last long too. Idk exact hours.Realme, you've outdone it😍"
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,4,Delightful,"After using Portronics Harmonics 208 and many research I found a good wireless headset( Realme Buds ).One of my friends using boat225, all god but disappointed with voice clarity and built quality.RealmeProsMagnetic standby, awesome feature saves battery.Google assistant.Sound & Built quality is good.Soft buttons.Fits good and perfect in shape.Voice cancellation while speaking is excellent.Wire size is good not too long, not too short.ConsWhile not speaking other person can hea..."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Worth every penny,"This is my genuine review after the use of 7 days ki The perfect wireless headphone in this range infact more than perfect .There are no cons in this earphoneSome highlighted pros due to which , daily & daily u will fall in love with it & always think urSELF Fortunate  are:A+ battery lifeA+Sound qualityMagnetic function is super 😘"
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,1,Did not meet expectations,"I'm a music producer and I find this earphones good but it's not worth the price, you can choose one plus instead or infinity by jbl for crystal clear sound quality, real me buds is loud cause of the driver (11.2) but it's not clear and you'll get a head ache after using it for a while , they say it has good bass but it doesn't , if you want good bass and clear sound of each and every instrument, go for one plus, jbl , infinity, skull candy or sony. Don't but real me buds"
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Brilliant,very nice product and best sound quality very fast delivery because i ordered yesterday and delivery in next day afternoon nice design good bass quality nice packaging clear voice quality better than boat 255f rockers
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Wonderful,"Realme Buds Bluetooth used details and ratingBattery : 14 hour Music Playing 5/5Key Controller : 4/5Design : flexible velvet type ,-- , ~~ () 5/5Colour : Green 5/5Charging time : 1h:20m full charge 4/5 Stand by : 7 day and 3hour music playing 5/5Music and Bass : good quality , Bass 4/5Compatible  :  Good , 4/5Bluetooth connection : ●Pairing in 4 second,,, ●paired device auto connect 2 second to 4 second . ●My device 3 second auto connect . 5/5Bluetooth range : ●Straight 75..."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Brilliant,"Got this free with Realme X2pro, but this product is good enough in its place.1. Sound quality is good2. The rubber material is so soft n comfortable to put it on.3. I love the feature in it, that you don't need to waste your time switching it On or Off. Just detach from magnetic bond and it will b switched On n put it back to magnetic bond n it will switched off.(the best feature I have ever got to use)The only problem is there is no cap at the charging point as it is open always. Weari..."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Classy product,I would like to thank Flipkart  for delivered this product with in time ... It's really amazing .. nice battery backup and inbuilt quality... But you need to improve bass quality .. thankyou ..
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Super!,amazingly superb... very good product and i strongly recommended to all who searching good Bluetooth headset with good sound quality and long lasting battery backup. i'm using it since 1 week and didn't charge it yet isn't it amazing.
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Worth every penny,Yo guys this product is much super than i have ever experienced and expectations .The bass is so good and the clarity is also is muchu better compared to boatz .if u checking this out to buy there vwill be no regret in buying this . so comfortable to carry and light weight. the magnetic this is so use full and it has a range of bluetooth of over 2 rooms . it's one hell of a product for this price range .. plz consider this if u are a budget .
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Terrific,No doubt.... This is  an awesome product by REALME.. ..  And I am very happy for this product. Later I bought MI Neckband and The sound quality is not good but not too bad.... I feel bored ....But REALME EAR BUDS  IS TOO GOOD IN SOUND QUQLITY . PREMIUM QUALITY BASS....
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,4,Good choice,Pros-Very good battery backup(10hrs)          Good sound(loud)          Nice build quality          Magnetic on off is superbCons- bass is not satisfying            Not fits in ear(speaker drum is too big)            charging point is opentips- use bass booster for great bass experience
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Best in the market!,"Built quality is very good. Sound is clear & crisp, you can hear without losing any  beat. Vocals are also good. Bass is quite balanced.Great connectivity. Battery long almost 11 hoursI got it with my Realme X2 Pro. But even if I have to pay then worth the price. Thank you Realme for this awesome product."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Super!,Awesome I think I have made a good choice especially as I travel to work so this will be my good partner..😉
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Terrific purchase,in love with realme products .. Good thank you flipkart  &realme good experience with realme x2 pro with this headphone..
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,3,Fair,"Everything is just fine, but in sound, music and bass I would say that the boult probass curve band sounds much better crisp and clear that this. And the price for that is lower than this."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,3,Good,"everyone is saying it has punchier bass, but after experiencing i don't feel it has punchier bass,bass is average.overall sound quality is average, vocals and treble are goodmagnetic on off function works great build quality is awesome"
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Perfect product!,It's a very nice headset with great bass and treble delivery with a nice build quality and it's so light that one cannot feel it after putting around the neck. The connectivity is good enough but the range could be a little better and love those features offered in this price range and the sound quality is also great with crisp treble and semi high bass Some minor highlights to be noticed :1) Sound quality is great in this earphones but with different devices you need to configure the sound...
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Perfect product!,After using 15 says I'm writing a review done quality is awesome bass is is awesome design and build is awesome  battery is great but not that much hope much you are thinking over value for money thanks Mr. madhav seth and realme
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Terrific,"Got today only, one day prior, very good Flipkart and ekart. I m movie n music lover, so i search and compair too many earphones nd now i chosen realmi buds About buds Design is very great.Sound quality is much good but i think wired ear phone much better experience from this. No such deep sound quality i get from this bud, but its decent. Bass quality depends on phones equaliser, i have my realmi 2 pro so that i can hear good bass quality from that.Fitting in my ear also comfortable.Co..."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Brilliant,"Really appreciated this product from realme ..... Satisfied fully ...... If u like deep base , high battery backup n light weight Bluetooth headset , thn i suggest u to take this ..... Its main feature is battery backup ... Its almost 12hrs i am playing continuous music in these n charge is nt down 😍"
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Highly recommended,I am very happy with this product. its just wow! i loved it.Only one thing i didn't like is led bulb is not turn red into green or other color . when its full charge it always red .so you have to check after some time.Whether full charge or not.
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,4,Pretty good,Sound quality awesomeCall quality ok Bluetooth range unpredictable at this price point superb connection.Design just wow and classy not too long not too short.Battery backup amazing Just one con which is sound delay in pubg Not recommended for pro pubg players they should use wired one.If u liked the review pls give a live
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Wonderful,I am giving this review after 14 days of rigorous use.Sound quality 10/10 (better than one plus z)Build quality.    9/10. (slightly lower than one+ z)Bass.               10/ 10 ( better than one+ z)Battery              7/10.  (One+ z is far ahead)All these rating are based on all earphones below 2000( wireless). If u r a corporate person and had to attend a large no. Of calls go for one plus z If u r sound lover person realms buds are a leap aheadPros- real me are great in its own wa...
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Perfect product!,nice product.. good bass.. great design.. superb battery back up
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Super!,"Best bluetooth headset so far. I have used JBL, Boat, Portronics. This one is lightweight, sounds perfect and the charge lasts for days. The best part is that it has an amazing mic, unlike any other BT headset I used in past."
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5,Simply awesome,"hi all...  I waited  so long to purchase a nice Bluetooth earphones..  and searched a lot by considering lot of products with different  technical  specifications..  a last I found one...  it's called realme Bluetooth headset. believe me bass is really  nice...  not just nice..  it's astonishing. Positive  aspects are :- sound quality, battery life-10 hours u can expect,  build in quality, it's design is smooth  and you can feel the price, metal filters inside buds as shown in picture,  smoot..."
